KOPERASI TIRTA BINA KARYA,Unnamed: 1,Unnamed: 2,Unnamed: 3
PERHITUNGAN HASIL USAHA,,,
PER 31 DESEMBER 2025,,,
I,PENDAPATAN,,
,Pendapatan Jasa Simpan Pinjam,,89300800
,Pendapatan Jasa Barang,,0
,Pendapatan ADM,,2191500
,SHU PK-PRI,,0
,Pendapatan Bunga Bank,,420627
,Pendapatan Lainnya,,0
,,,
,Jumlah Pendapatan,,91912927
,,,
II,BEBAN,,
,Honor Pengurus,13950000.0,
,Honor Badan Pengawas,0.0,
,Honor Karyawan CS,2200000.0,
,Biaya Biaya ADM Bank,0.0,
,Biaya ATK Print ,3249000.0,
,Biaya Pajak Bank,83028.0,
,Biaya Pelatihan,0.0,
,Biaya THR Anggota,24900000.0,
,Biaya Konsumsi,3000000.0,
,Biaya Operasional,10000000.0,
,Biaya Adm Bank,0.0,
,Biaya Bantuan Kegiatan Dinas Koperasi ,500000.0,
,Biaya RAT TB 2024,3500000.0,
,Biaya Servis Printer,350000.0,
,Biaya Penyusutan Inventaris,0.0,
,Biaya Penyusutan Legalitas,0.0,
,Biaya Lain-Lain,0.0,
,,,
,Jumlah Biaya Operasional,,61732028
,SHU Sebelum Pajak,,30180899
,Pajak SHU,,0
,SHU Bersih,,30180899
,,,
"PENGURUS,",,,
KOPERASI TIRTA BINA KARYA,,,
,,,
KETUA,,,BENDAHARA
,,,
,,,
,,,
"KHAIRIL ANUAR, ST, M.Si",,,GUSNI
